File,Total Time (minutes),Coding,Debugging,Testing,FC Flow Complexity,OV Object Vocabulary,OC Object Conjuration,AI Arithmetic Intricacy,DT Data Transfer,CM Comments,CS Code Structure,ID Inline Data,
C:\Users\sainath\Desktop\freemind\main\FreeMindStarter.java,1756,732,573,451,408,671,328,30,152,13,139,12,
C:\Users\sainath\Desktop\freemind\main\HtmlTools.java,8445,3166,2970,2309,3778,1599,1554,195,617,45,582,72,
C:\Users\sainath\Desktop\freemind\main\IFreeMindSplash.java,142,72,38,31,0,98,22,0,5,7,8,0,
C:\Users\sainath\Desktop\freemind\main\LoggingOutputStream.java,394,169,125,99,91,187,60,0,20,3,29,1,
C:\Users\sainath\Desktop\freemind\main\Resources.java,1473,611,488,373,312,641,260,12,114,8,111,11,
C:\Users\sainath\Desktop\freemind\main\StdFormatter.java,575,259,174,140,82,306,89,12,38,9,35,1,
C:\Users\sainath\Desktop\freemind\main\Tools.java,19574,7419,6858,5296,7904,4937,3391,451,1452,66,1297,74,
C:\Users\sainath\Desktop\freemind\main\XHTMLWriter.java,2443,908,864,670,1165,572,351,18,161,24,137,11,
C:\Users\sainath\Desktop\freemind\main\XMLElement.java,15771,5818,5630,4322,7785,1876,3110,128,1093,406,1299,72,
C:\Users\sainath\Desktop\freemind\main\XMLParseException.java,382,170,120,91,105,98,69,36,19,25,22,4,
C:\Users\sainath\Desktop\freemind\modes\ArrowLinkAdapter.java,2162,787,786,588,1080,503,306,0,128,8,128,7,
C:\Users\sainath\Desktop\freemind\modes\attributes\Attribute.java,329,149,100,80,18,128,99,12,18,7,44,1,
C:\Users\sainath\Desktop\freemind\modes\attributes\AttributeController.java,541,261,153,126,0,414,88,0,18,6,13,0,
C:\Users\sainath\Desktop\freemind\modes\attributes\AttributeRegistry.java,4764,1866,1619,1278,1600,1402,902,85,394,11,360,7,
C:\Users\sainath\Desktop\freemind\modes\attributes\AttributeRegistryComboBoxColumnModel.java,1118,478,362,278,249,523,158,18,66,14,87,1,
C:\Users\sainath\Desktop\freemind\modes\attributes\AttributeRegistryElement.java,1623,692,513,417,279,681,365,6,123,7,157,1,
C:\Users\sainath\Desktop\freemind\modes\attributes\AttributeRegistryTableModel.java,1958,739,707,512,838,513,284,91,90,9,115,16,
C:\Users\sainath\Desktop\freemind\modes\attributes\AttributeTableLayoutModel.java,1007,396,346,265,274,335,171,18,126,11,67,2,
C:\Users\sainath\Desktop\freemind\modes\attributes\AttributeTableModel.java,245,122,68,55,0,187,32,0,9,7,9,0,
C:\Users\sainath\Desktop\freemind\modes\attributes\ColumnWidthChangeEvent.java,161,78,46,36,6,98,28,0,4,7,15,0,
C:\Users\sainath\Desktop\freemind\modes\attributes\ColumnWidthChangeListener.java,95,50,24,19,0,69,9,0,1,7,7,0,
C:\Users\sainath\Desktop\freemind\modes\attributes\NodeAttributeTableModel.java,2889,1141,980,768,962,938,550,6,201,11,211,7,
C:\Users\sainath\Desktop\freemind\modes\browsemode\BrowseArrowLinkModel.java,364,173,107,83,18,256,35,6,11,8,26,0,
C:\Users\sainath\Desktop\freemind\modes\browsemode\BrowseCloudModel.java,158,77,45,35,6,108,17,0,4,6,14,0,
C:\Users\sainath\Desktop\freemind\modes\browsemode\BrowseController.java,2836,1219,900,716,619,1343,399,42,211,29,185,6,
C:\Users\sainath\Desktop\freemind\modes\browsemode\BrowseEdgeModel.java,247,119,71,57,6,168,33,0,9,6,23,0,
C:\Users\sainath\Desktop\freemind\modes\browsemode\BrowseHookFactory.java,571,253,181,136,91,306,76,0,28,15,53,0,
C:\Users\sainath\Desktop\freemind\modes\browsemode\BrowseMapModel.java,1414,583,471,359,361,602,218,12,91,12,113,2,
C:\Users\sainath\Desktop\freemind\modes\browsemode\BrowseMode.java,638,282,199,156,101,335,91,6,34,8,59,1,
C:\Users\sainath\Desktop\freemind\modes\browsemode\BrowseNodeModel.java,317,150,91,75,12,197,54,0,20,8,23,0,
C:\Users\sainath\Desktop\freemind\modes\browsemode\BrowsePopupMenu.java,351,172,98,80,0,256,44,0,19,6,22,1,
C:\Users\sainath\Desktop\freemind\modes\browsemode\BrowseReminderHook.java,212,106,57,48,0,138,33,0,10,9,20,0,
C:\Users\sainath\Desktop\freemind\modes\browsemode\BrowseToolBar.java,628,280,192,155,111,355,76,0,35,6,41,1,
C:\Users\sainath\Desktop\freemind\modes\browsemode\BrowseXMLElement.java,744,331,232,180,93,434,124,0,35,8,48,0,
