File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\PermanentNodeHookAdapter.java,252,104,72,7,35,0,113,311,25,167
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\PermanentNodeHookSubstituteUnknown.java,61,26,19,2,13,0,22,162,19,145
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\extensions\UndoEventReceiver.java,43,3,2,0,4,0,36,226,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\main\Base64Coding.java,177,99,81,14,19,1,59,422,36,294
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\main\EditServer.java,243,128,101,12,32,6,83,489,21,143
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\main\ExampleFileFilter.java,275,99,70,21,20,0,156,926,56,439
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\main\FeedBack.java,33,7,6,0,4,0,22,156,22,156
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\main\FixedHTMLWriter.java,124,63,48,10,10,0,51,231,0,0
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\main\FreeMind.java,1465,1027,782,113,212,5,226,1204,19,150
C:\Users\sainath\Desktop\SM-A2\Sourch codes\1.0.1\freemind 1.0.1\freemind\main\FreeMindApplet.java,441,308,228,46,69,5,64,309,19,145
